,歌曲名称,歌曲信息
88,Too Bad,《Too Bad》是林俊杰演唱的一首歌曲，由林俊杰谱曲，并与林怡凤共同填词，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中，为该专辑的第六波主打 [1]。
89,序曲：12年前,《序曲：12年前》是林俊杰、范维仁、Ken讲述的口白，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中 [1]。
90,现在的我和她,《现在的我和她》是林俊杰与范维仁合唱的一首歌曲，由范维仁填词，林俊杰谱曲，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中 [1]。
91,序曲：海边 初,《序曲：海边 初》是林俊杰创作的音乐，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中 [1]。
92,Lier and Accuser,《Lier and Accuser》是林俊杰演唱的一首歌曲，由林俊杰填词、谱曲，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中 [1]。
93,独舞,《独舞》是林俊杰演唱的一首歌曲，由吴青峰填词，林俊杰谱曲，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中 [1]。
94,序曲：海边 终,《序曲：海边 终》是林俊杰创作的音乐，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中 [1]。
95,你，有没有过,《你，有没有过》是林俊杰演唱的一首歌曲，由林怡凤填词，林俊杰谱曲，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中，为电影《破风》的主题曲 [1]。
96,只要有你的地方,《只要有你的地方》是林俊杰演唱的一首歌曲，由林夕填词，林俊杰谱曲，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中，为电影《消失爱人》的主题曲 [1-2]。
97,有梦不难,《有梦不难》是林俊杰与张怀颢、周信廷合唱的一首歌曲，由方文山填词，林俊杰谱曲，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中，为该专辑的第二波主打 [1]。
98,不为谁而作的歌,《不为谁而作的歌》是林俊杰演唱的一首歌曲，由林秋离填词，林俊杰谱曲，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中 [25]，为该专辑的首波主打 [1]。
99,Dreams,《Dreams》是林俊杰演唱的一首歌曲，由林俊杰、吴庆隆合作谱曲， [2]符美芸填词，为2015年新加坡妆艺大游行主题曲。
100,只要有你的地方,《只要有你的地方》是林俊杰演唱的一首歌曲，由林夕填词，林俊杰谱曲，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中，为电影《消失爱人》的主题曲 [1-2]。
101,你，有没有过,《你，有没有过》是林俊杰演唱的一首歌曲，由林怡凤填词，林俊杰谱曲，收录在林俊杰于2015年12月25日发行的实验专辑《和自己对话》中，为电影《破风》的主题曲 [1]。
102,Our Singapore,《Our Singapore》由李迪文填词谱曲，林俊杰演唱，为新加坡50周年国庆主题曲。
103,I Pray For You,《I Pray For You》是由罗文裕填词，林俊杰谱曲并演唱，为台湾八仙尘爆（即6·27新北游乐园粉尘爆炸事故）伤者祈福的首支公益歌曲。
104,回,《回》收录在2014年林俊杰第11张个人专辑《新地球GENESIS》中，为《新地球Genesis》专辑的序曲，由林俊杰作曲及编曲。 [1]
105,新地球,《新地球》是林俊杰演唱的一首歌曲，由林秋离填词，林俊杰谱曲、编曲，收录在林俊杰2014年12月27日由华纳唱片发行的专辑《新地球》中，是该专辑的同名主打歌 [1]。
106,水仙,《水仙》收录在2014年林俊杰第11张个人专辑《新地球GENESIS》中，由王雅君作词，林俊杰作曲并演唱。 [1-2] [4]
107,浪漫血液,《浪漫血液》是林俊杰演唱的一首歌曲，由姚若龙填词，林俊杰谱曲，Martin Tang编曲，收录在林俊杰2014年12月27日发行的专辑《新地球》中 [2]，也是韩剧《我的爱蝴蝶夫人》的中文片头曲 [1]。
108,黑键,《黑键》是由五月天阿信填词，林俊杰谱曲并演唱的歌曲，收录于林俊杰第11张个人专辑《新地球GENESIS》中，是2015年DOTA2亚洲邀请赛的主题曲 [1]。2016年4月10日，林俊杰凭借该曲获得第四届音悦V榜年度盛典港台最佳男歌手奖。 [6]
109,手心的蔷薇,《手心的蔷薇》是林俊杰、邓紫棋演唱的歌曲，由林怡凤作词，林俊杰作曲，收录于林俊杰2014年12月27日发行的音乐专辑《新地球》 [1] [4]。
110,可惜没如果,《可惜没如果》由林夕作词，蔡政勋编曲，林俊杰作曲并演唱的歌曲，收录在林俊杰第11张个人专辑《新地球GENESIS》中，是专辑的首波抒情主打，同时也是韩剧《杜鹃之巢》的中文主题曲、《对我而言，可爱的她》的中文片尾曲。
111,I Am Alive,《I Am Alive》是由林俊杰、杰森·玛耶兹、Micheal Natter、Nancy Natter填词，林俊杰、杰森·玛耶兹作曲并演唱的一首歌曲，收录在林俊杰2014年12月27日发行的专辑《新地球GENESIS》中 [1]。
112,爱的鼓励,    《爱的鼓励》是林俊杰演唱的歌曲，由林俊杰作曲，吴青峰作词，收录于2014年12月27日发行的《新地球GENESIS》专辑中。是《一见不钟情》电视剧片头曲。 [4]
113,茉莉雨,《茉莉雨》是林俊杰演唱的一首歌曲，由方文山作词，林俊杰作曲，蔡政勋编曲， [1]收录在林俊杰2014年12月27日发行第11张个人专辑《新地球GENESIS》中。
114,生生,《生生》是林俊杰演唱的一首歌曲，由林怡凤作词，林俊杰作曲，吴庆隆编曲，收录在林俊杰2014年12月27日发行的专辑《新地球GENESIS》中 [1]。
115,Lamando,《Lamando》收录在林俊杰第11张个人专辑《新地球GENESIS》（内地版）中，由Kenn C编曲，李若君作词，林俊杰谱曲并演唱。本歌曲为上海大众Lamando凌渡广告主题曲。 [1]
116,Checkmate,《Checkmate》收录在郑容和solo专辑《One Fine Day》及林俊杰第11张个人专辑《新地球》（附赠曲目）中，由郑容和、李祥浩编曲，郑容和作曲，林俊杰、郑容和作词并演唱 [1]。
117,回,《回》收录在2014年林俊杰第11张个人专辑《新地球GENESIS》中，为《新地球Genesis》专辑的序曲，由林俊杰作曲及编曲。 [1]
118,新地球,《新地球》是林俊杰演唱的一首歌曲，由林秋离填词，林俊杰谱曲、编曲，收录在林俊杰2014年12月27日由华纳唱片发行的专辑《新地球》中，是该专辑的同名主打歌 [1]。
119,水仙,《水仙》收录在2014年林俊杰第11张个人专辑《新地球GENESIS》中，由王雅君作词，林俊杰作曲并演唱。 [1-2] [4]
120,浪漫血液,《浪漫血液》是林俊杰演唱的一首歌曲，由姚若龙填词，林俊杰谱曲，Martin Tang编曲，收录在林俊杰2014年12月27日发行的专辑《新地球》中 [2]，也是韩剧《我的爱蝴蝶夫人》的中文片头曲 [1]。
121,黑键,《黑键》是由五月天阿信填词，林俊杰谱曲并演唱的歌曲，收录于林俊杰第11张个人专辑《新地球GENESIS》中，是2015年DOTA2亚洲邀请赛的主题曲 [1]。2016年4月10日，林俊杰凭借该曲获得第四届音悦V榜年度盛典港台最佳男歌手奖。 [6]
122,手心的蔷薇,《手心的蔷薇》是林俊杰、邓紫棋演唱的歌曲，由林怡凤作词，林俊杰作曲，收录于林俊杰2014年12月27日发行的音乐专辑《新地球》 [1] [4]。
123,可惜没如果,《可惜没如果》由林夕作词，蔡政勋编曲，林俊杰作曲并演唱的歌曲，收录在林俊杰第11张个人专辑《新地球GENESIS》中，是专辑的首波抒情主打，同时也是韩剧《杜鹃之巢》的中文主题曲、《对我而言，可爱的她》的中文片尾曲。
124,I Am Alive,《I Am Alive》是由林俊杰、杰森·玛耶兹、Micheal Natter、Nancy Natter填词，林俊杰、杰森·玛耶兹作曲并演唱的一首歌曲，收录在林俊杰2014年12月27日发行的专辑《新地球GENESIS》中 [1]。
125,爱的鼓励,    《爱的鼓励》是林俊杰演唱的歌曲，由林俊杰作曲，吴青峰作词，收录于2014年12月27日发行的《新地球GENESIS》专辑中。是《一见不钟情》电视剧片头曲。 [4]
126,茉莉雨,《茉莉雨》是林俊杰演唱的一首歌曲，由方文山作词，林俊杰作曲，蔡政勋编曲， [1]收录在林俊杰2014年12月27日发行第11张个人专辑《新地球GENESIS》中。
127,生生,《生生》是林俊杰演唱的一首歌曲，由林怡凤作词，林俊杰作曲，吴庆隆编曲，收录在林俊杰2014年12月27日发行的专辑《新地球GENESIS》中 [1]。
128,因你而在,《因你而在》是林俊杰第十张音乐专辑《因你而在 Stories Untold》中的同名主打歌曲，由林俊杰作曲，王雅君作词。于2013年1月31日发布试听版本，2月6日发布正式版本，2月19日发布MV。
129,零度的亲吻,《零度的亲吻》是林俊杰演唱的歌曲，收录在2013年3月13日正式发行的专辑《因你而在》。
130,黑暗骑士,《黑暗骑士》是林俊杰与五月天合作的一首单曲，由陈信宏填词，林俊杰谱曲，林俊杰、陈信宏演唱，收录于林俊杰2013年3月13日发行的专辑《因你而在》中 [1-2]。该曲是林俊杰和陈信宏合作的“黑色三部曲”系列的第二部。
131,修炼爱情,《修炼爱情》是林俊杰演唱的一首歌曲，由易家扬作词，林俊杰作曲，吴庆隆编曲 [6]，于2013年2月21日以单曲形式发行 [16]，后收录在林俊杰同年3月13日由华纳唱片发行的专辑《因你而在》中 [6]。
132,飞机,《飞机》是林俊杰、林俊峰演唱的歌曲，由张思尔填词，林俊杰谱曲，收录在专辑《因你而在 Stories Untold》中。
133,巴洛克先生,《巴洛克先生》是林俊杰第十张音乐专辑《因你而在 Stories Untold》中的间奏曲（interlude），原曲J.S.巴赫，改编自No.13 in A Minor，由林俊杰与王力宏共同编曲，并由王力宏小提琴特别演奏，于2013年3月13日，由华纳唱片发行。
134,One Shot,《One Shot》是林俊杰第十张个人专辑《因你而在 Stories Untold》中的英文歌曲，由林俊杰作曲，林俊杰/Mike Chang作词，王力宏小提琴特别演奏，于2013年3月13日，由华纳音乐正式发行。 [1]
135,裂缝中的阳光,《裂缝中的阳光》是林俊杰演唱的一首歌，由吴青峰填词，林俊杰谱曲，收录于个人专辑《因你而在 Stories Untold》中，专辑于2013年3月13日正式发行。
136,友人说,《友人说》是林俊杰第十张个人专辑《因你而在 Stories Untold》中的歌曲，由林俊杰作曲，李念和作词，并与大嘴巴成员张怀秋合唱。于2013年3月13日正式发行。 [1]
137,十秒的冲动,《十秒的冲动》是林俊杰第十张个人专辑《因你而在 Stories Untold》中歌曲《十秒的冲动》的微电影，由傅天余执导，林俊杰、张卓楠、曾恺玹主演。 [1]
138,以后要做的事,《以后要做的事》是林俊杰第十张个人专辑《因你而在 Stories Untold》中的歌曲，专辑于2013年3月13日正式发行。
139,修炼爱情,《修炼爱情》是林俊杰演唱的一首歌曲，由易家扬作词，林俊杰作曲，吴庆隆编曲 [6]，于2013年2月21日以单曲形式发行 [16]，后收录在林俊杰同年3月13日由华纳唱片发行的专辑《因你而在》中 [6]。
140,翅膀,《翅膀》是林俊杰演唱的歌曲，由张思尔作词，林俊杰作曲，收录在林俊杰2003年4月10日发行的个人第一张专辑《乐行者》中。 [1]
141,不懂,《不懂》是林俊杰演唱的歌曲，由张思尔填词，林俊杰谱曲，收录在专辑《乐行者》中。
142,江南,《第二天堂》是林俊杰于2004年6月4日发行的第二张个人创作专辑，共收录15首歌曲。专辑由许环良监作，林俊杰包办整张专辑作曲，同时参与了编曲及制作。歌词大部分的填写及概念部分，则由林秋离把握。 [1]
143,害怕,《害怕》是林俊杰演唱的歌曲，由李瑞洵作词，林俊杰作曲，收录在林俊杰2004年6月4日发行的专辑《第二天堂》中。 [1]
144,一千年以后,歌曲《一千年以后》，由林俊杰演唱，林秋离作词 [16]，林俊杰作曲，收录在林俊杰2005年4月1日发行的专辑《编号89757》中。
145,简简单单,《简简单单》是2005年4月1日林俊杰演唱的歌曲，由向月娥、张思尔作词，林俊杰作曲，收录在林俊杰发行的专辑《编号89757》中。 [1]
146,原来,《原来》是张思尔、林秋离作词，林俊杰作曲、演唱的一首歌曲，收录在林俊杰2006年2月17日发行的音乐专辑《曹操》中。 [1]
147,西界,《西界》是林俊杰2007年发行的专辑 [1]。作词者包括林秋离、林怡凤等人，作曲由林俊杰一人完成，全专辑共收录13首歌曲。
148,不流泪的机场,《不流泪的机场》是林俊杰演唱的歌曲，由陈嘉文作词，林俊杰作曲，收录在林俊杰2007年6月29日发行的专辑《西界》中。
149,小酒窝,《小酒窝》是林俊杰和蔡卓妍合唱的歌曲，由王雅君作词，林俊杰作曲，林俊杰、吴剑泓共同编曲 [1]，首发于2008年9月29日 [2]，收录在林俊杰2008年10月18日由海蝶音乐发行的专辑《JJ陆》 [3]以及蔡卓妍2009年4月6日由英皇娱乐发行的专辑《二缺一》中 [4] 。
150,爱与希望,《爱与希望》是林俊杰演唱的一首赈灾励志歌曲，由王雅君作词，林俊杰作曲、编曲，首发于2008年5月15日，后收录在林俊杰2008年10月18日发行的专辑《JJ陆》中 [1]。该歌曲是林俊杰为5·12汶川地震特别制作的赈灾励志歌曲。
151,第几个100天,《第几个100天》是林俊杰演唱的歌曲，由姚若龙作词，林俊杰作曲，首发于2009年12月2日 [1]，收录在林俊杰2009年12月18日推出的专辑《100天》中。
